budget,platform,content_type,audience_size,posting_hour,sentiment_score,holiday_flag,region,engagement_rate,roi
178.69,twitter,video,12372,22,0.468,0,Saudi Arabia,0.0217,1.39
346.33,facebook,story,1889,20,0.781,0,UAE,0.0211,1.684
2115.68,facebook,reel,1488,20,0.392,0,UAE,0.0329,1.706
129.28,tiktok,image,7162,11,0.328,0,UAE,0.0872,3.361
140.8,facebook,reel,45130,23,-0.028,0,Egypt,0.0221,0.992
124.99,twitter,video,6598,13,0.304,1,Lebanon,0.0332,0.859
1909.65,tiktok,reel,34122,23,0.305,0,Lebanon,0.0843,2.866
266.11,facebook,image,11933,22,-0.178,0,Lebanon,0.0229,0.837
394.23,instagram,carousel,13607,20,0.111,0,Lebanon,0.0425,1.824
280.76,twitter,story,1864,15,0.187,0,Egypt,0.0138,0.426
172.43,tiktok,image,22726,19,0.445,1,UAE,0.0916,4.23
326.48,twitter,carousel,5605,16,0.461,0,Jordan,0.0188,0.742
3686.45,instagram,story,20939,18,0.097,0,Lebanon,0.0431,1.232
1412.14,tiktok,image,3309,17,0.464,0,Saudi Arabia,0.1137,5.5
187.23,facebook,image,9845,10,0.236,1,Saudi Arabia,0.0268,2.523
722.57,instagram,carousel,11934,22,-0.704,0,UAE,0.0329,0.904
190.88,facebook,video,6840,18,0.13,0,Egypt,0.029,1.181
81.55,tiktok,image,12644,16,0.678,0,Jordan,0.078,4.734
1009.85,instagram,video,6044,16,-0.289,0,Egypt,0.0432,1.529
1146.06,facebook,reel,3968,19,0.339,1,UAE,0.0316,2.222
1034.27,tiktok,image,47383,14,0.855,0,UAE,0.0818,7.062
264.31,instagram,video,25689,9,0.034,0,Saudi Arabia,0.0501,2.738
347.2,facebook,reel,3508,20,0.301,0,UAE,0.0215,1.539
792.18,facebook,carousel,15142,20,-0.156,0,Egypt,0.0205,0.393
573.84,instagram,reel,3579,17,0.87,0,Saudi Arabia,0.1125,2.763
283.08,twitter,video,2201,13,0.271,1,Saudi Arabia,0.0312,2.547
93.96,tiktok,story,25265,18,0.316,0,Egypt,0.0605,2.859
446.97,instagram,carousel,1243,12,0.774,0,Egypt,0.0487,2.426
1065.4,twitter,image,22461,14,0.532,0,Lebanon,0.0179,0.688
137.3,tiktok,reel,6136,15,-0.006,0,Lebanon,0.061,3.488
716.86,instagram,video,6420,21,0.073,0,Saudi Arabia,0.0738,3.547
543.69,tiktok,image,12717,17,0.473,0,Saudi Arabia,0.0824,5.816
792.45,instagram,image,15356,16,0.082,0,UAE,0.0585,3.79
884.28,twitter,carousel,3265,23,-0.441,0,UAE,0.0097,0.619
215.94,facebook,image,17845,19,0.281,1,Egypt,0.0297,1.303
94.14,facebook,image,9179,19,-0.218,0,Egypt,0.0175,0.506
249.59,instagram,image,2035,17,0.866,0,Saudi Arabia,0.0583,2.777
898.04,tiktok,video,6721,16,0.362,0,UAE,0.0851,7.327
247.69,instagram,video,37027,9,-0.017,0,UAE,0.0514,3.326
216.02,instagram,carousel,51238,22,0.055,0,Saudi Arabia,0.0537,3.49
78.32,instagram,image,17837,20,-0.361,0,UAE,0.0485,4.723
1953.51,tiktok,image,2187,17,-0.085,0,Saudi Arabia,0.0874,4.528
848.22,instagram,carousel,13900,17,0.656,1,Saudi Arabia,0.0671,3.579
806.66,twitter,video,20659,21,1.0,1,Lebanon,0.0263,1.559
963.87,facebook,carousel,18002,12,0.554,0,Lebanon,0.0185,0.627
677.93,instagram,image,19215,16,0.268,1,UAE,0.071,4.688
323.79,instagram,image,12083,13,0.149,1,Egypt,0.0447,1.775
348.14,instagram,image,7482,23,-0.035,0,Saudi Arabia,0.0539,2.508
274.57,facebook,video,4149,22,1.0,0,Lebanon,0.041,1.489
4321.11,tiktok,video,1004,9,0.234,0,Egypt,0.1023,4.629
665.36,instagram,reel,11773,12,1.0,0,Saudi Arabia,0.0766,6.11
265.76,tiktok,video,9943,17,0.788,0,Saudi Arabia,0.1444,10.093
613.36,instagram,carousel,14962,16,-0.309,0,Jordan,0.0428,1.783
162.43,tiktok,carousel,1860,13,0.067,1,Lebanon,0.0962,5.468
1562.52,twitter,image,16473,23,0.066,0,UAE,0.0161,0.925
222.52,tiktok,video,77652,19,0.272,0,Saudi Arabia,0.0989,7.322
633.32,tiktok,video,8833,20,0.279,0,UAE,0.0943,6.001
1052.98,tiktok,video,7571,15,1.0,0,Saudi Arabia,0.1505,12.67
570.37,instagram,image,11383,21,-0.077,1,UAE,0.0499,3.846
439.23,instagram,reel,75778,16,0.38,0,Lebanon,0.0729,3.371
407.37,instagram,story,2628,17,0.516,0,UAE,0.043,2.795
383.45,facebook,image,10132,20,0.299,0,UAE,0.0171,1.515
240.08,tiktok,carousel,3362,11,0.339,0,Lebanon,0.1158,4.651
269.2,facebook,reel,4439,23,-0.066,0,Lebanon,0.0352,1.5
1527.87,tiktok,image,7672,19,0.337,0,Egypt,0.0972,3.829
365.88,instagram,reel,35669,23,0.479,0,UAE,0.0655,3.799
198.9,tiktok,carousel,58752,14,0.415,0,UAE,0.0832,4.633
253.49,instagram,story,13265,14,0.5,0,Lebanon,0.053,2.32
1086.08,instagram,story,5354,13,0.794,0,UAE,0.0441,2.728
741.03,tiktok,image,125745,19,0.628,0,UAE,0.0738,3.218
668.01,twitter,video,5062,18,0.325,0,Saudi Arabia,0.0305,1.529
319.97,facebook,carousel,4323,16,-0.11,0,UAE,0.0216,1.276
675.89,instagram,image,1150,14,0.09,0,Egypt,0.0618,2.79
226.06,facebook,video,37635,13,0.223,0,Jordan,0.0192,1.017
319.37,instagram,story,23507,18,0.388,0,Lebanon,0.0456,0.727
965.67,tiktok,image,115796,16,0.133,0,Lebanon,0.0951,4.263
886.12,tiktok,video,1757,15,-0.028,1,Lebanon,0.1217,4.582
166.71,instagram,reel,40295,23,-0.116,0,Saudi Arabia,0.0534,3.297
186.8,instagram,video,8752,18,-0.278,0,Lebanon,0.0417,1.509
444.89,instagram,video,19667,23,0.218,0,Egypt,0.0731,2.573
1907.44,twitter,story,1322,16,-0.214,0,Egypt,0.0103,0.285
71.95,facebook,video,40736,19,-0.05,0,Egypt,0.0241,0.907
518.27,tiktok,image,19248,18,0.162,0,Saudi Arabia,0.0591,4.53
116.93,facebook,image,7763,11,-0.168,0,Jordan,0.0209,0.868
227.94,facebook,story,16475,23,0.433,0,Lebanon,0.0225,1.353
290.62,instagram,image,3491,17,0.559,0,UAE,0.055,4.846
276.32,twitter,video,4283,21,0.108,0,UAE,0.0167,1.189
249.53,instagram,image,4866,15,0.147,0,Jordan,0.0592,1.471
406.05,facebook,video,1055,17,0.488,1,Saudi Arabia,0.0379,3.806
249.2,tiktok,story,20908,15,0.05,0,Egypt,0.0481,1.536
108.18,facebook,video,30054,23,0.026,1,Lebanon,0.0204,1.239
813.94,twitter,story,3746,19,0.719,0,Jordan,0.0147,0.562
794.4,instagram,image,11884,19,0.609,0,Saudi Arabia,0.0401,1.84
861.66,facebook,video,6050,23,0.511,0,Saudi Arabia,0.0279,2.618
100.82,facebook,reel,11627,23,0.624,0,Jordan,0.0388,1.668
527.96,facebook,video,4062,21,-0.392,0,UAE,0.0212,1.289
741.28,instagram,image,3066,12,0.774,0,UAE,0.0583,4.311
159.48,instagram,reel,25778,15,0.437,0,Saudi Arabia,0.0611,3.748
406.77,instagram,video,7553,14,0.654,0,Lebanon,0.0731,3.536
363.35,instagram,carousel,74930,21,0.436,1,UAE,0.0883,4.823
2117.38,facebook,story,8526,19,0.317,0,UAE,0.0176,1.016
2280.26,facebook,image,2925,12,0.204,0,Lebanon,0.0216,0.593
90.2,facebook,video,31245,17,0.429,0,Egypt,0.0211,0.846
3806.76,facebook,image,16218,12,0.191,0,Saudi Arabia,0.0241,1.523
177.03,facebook,video,18025,18,0.604,1,UAE,0.0351,3.356
975.16,instagram,image,30021,11,-0.255,0,UAE,0.0401,1.222
966.27,facebook,carousel,3951,20,0.11,0,Saudi Arabia,0.0236,1.547
164.66,instagram,image,7044,20,1.0,0,Saudi Arabia,0.069,5.613
628.88,instagram,carousel,6710,23,0.081,0,Jordan,0.0576,2.051
366.21,facebook,image,1958,21,0.216,0,Jordan,0.0205,1.093
664.41,facebook,video,6063,16,-0.009,1,UAE,0.0378,2.392
496.51,instagram,video,35242,21,0.418,0,UAE,0.0567,2.639
1184.06,facebook,reel,10520,12,0.042,0,Saudi Arabia,0.03,2.28
431.76,facebook,video,1843,14,0.235,0,Saudi Arabia,0.0272,1.615
346.86,tiktok,video,1463,19,0.597,0,Saudi Arabia,0.139,9.332
1081.88,facebook,reel,50577,9,0.055,1,Saudi Arabia,0.0248,1.405
680.18,facebook,carousel,7336,18,0.576,0,Saudi Arabia,0.0281,2.37
779.48,instagram,image,3975,14,0.588,0,UAE,0.0432,2.534
221.82,tiktok,story,5994,18,0.669,0,UAE,0.0837,3.868
157.47,facebook,video,1595,14,0.349,0,UAE,0.0308,1.773
242.03,facebook,image,38770,20,1.0,0,Lebanon,0.0234,1.751
230.73,facebook,video,5258,18,0.669,0,Lebanon,0.0338,2.085
818.59,instagram,image,36466,23,0.414,1,Egypt,0.0583,2.497
971.06,facebook,image,8576,18,-0.007,0,UAE,0.0174,1.257
350.86,tiktok,reel,39045,15,0.266,0,UAE,0.1061,8.023
1462.39,tiktok,image,10746,17,0.799,0,Saudi Arabia,0.0784,4.874
1382.46,twitter,reel,20713,13,0.898,0,Egypt,0.0375,1.546
502.23,facebook,story,17872,20,0.817,0,UAE,0.0256,2.067
192.54,facebook,carousel,16084,20,0.575,0,Egypt,0.0284,0.996
1665.43,tiktok,reel,11881,23,-0.139,0,Jordan,0.1173,4.165
381.87,instagram,reel,6272,16,0.471,1,Saudi Arabia,0.0585,4.939
451.94,tiktok,story,66634,17,-0.134,0,Saudi Arabia,0.0294,0.875
297.19,facebook,video,2988,16,-0.221,0,Lebanon,0.0229,0.787
181.13,instagram,image,8141,19,0.384,0,Jordan,0.0384,1.776
107.58,instagram,video,8236,20,0.483,0,UAE,0.0681,6.384
713.07,tiktok,carousel,12615,18,0.616,0,Jordan,0.1077,2.863
199.33,instagram,image,5052,22,0.474,0,Saudi Arabia,0.0614,3.795
6333.31,instagram,carousel,11455,16,0.486,0,Lebanon,0.047,1.621
151.8,instagram,image,6729,22,-0.045,0,Lebanon,0.0461,2.328
130.11,instagram,story,1422,20,0.263,1,Egypt,0.053,2.572
638.5,instagram,image,8188,18,-0.227,0,Saudi Arabia,0.0427,2.99
1597.8,tiktok,image,2414,17,-0.401,0,Lebanon,0.0581,2.022
427.58,instagram,image,1202,23,0.559,0,Egypt,0.0702,2.628
675.21,tiktok,image,9419,15,0.036,0,Egypt,0.071,2.527
76.77,tiktok,image,13858,19,0.605,0,Saudi Arabia,0.1185,8.251
219.26,instagram,image,14463,15,0.688,0,Saudi Arabia,0.0461,4.075
153.51,instagram,image,15121,23,0.083,0,Lebanon,0.0493,1.408
73.29,facebook,image,966,22,0.507,0,Egypt,0.0248,0.914
448.22,instagram,video,1813,15,0.069,0,UAE,0.0591,3.833
53.59,instagram,video,71031,20,-0.346,1,Egypt,0.0634,3.382
122.73,twitter,video,2560,19,0.343,0,UAE,0.0223,0.706
248.77,twitter,video,15865,16,0.135,0,Saudi Arabia,0.0105,0.841
190.92,tiktok,image,3806,21,0.146,0,UAE,0.0357,2.188
576.38,instagram,image,8845,20,0.991,0,Lebanon,0.0756,2.117
531.14,tiktok,image,4037,19,-0.234,0,Egypt,0.0837,0.637
901.82,tiktok,reel,15028,18,0.434,0,Saudi Arabia,0.1642,6.19
794.05,facebook,story,9418,20,-0.048,0,Saudi Arabia,0.0162,0.829
1126.34,facebook,story,4948,19,0.618,0,Jordan,0.0163,0.769
402.73,instagram,video,2552,18,0.404,0,Jordan,0.0666,3.681
530.13,instagram,carousel,10878,15,0.433,0,Egypt,0.0576,1.96
639.29,facebook,video,2134,23,-0.031,0,UAE,0.0219,0.866
458.28,instagram,reel,12967,14,0.032,0,Saudi Arabia,0.0793,3.911
282.17,instagram,reel,145675,20,0.625,0,Egypt,0.1009,4.459
299.11,tiktok,reel,35781,17,0.92,0,UAE,0.1495,12.589
193.29,twitter,reel,17857,23,0.468,0,Lebanon,0.0239,0.929
589.61,facebook,video,7374,14,-0.014,0,Egypt,0.0194,0.789
370.7,tiktok,reel,960,15,0.419,0,Saudi Arabia,0.1669,9.065
222.1,twitter,reel,1892,14,1.0,0,Saudi Arabia,0.0305,1.905
222.29,instagram,video,33225,19,0.336,0,Jordan,0.061,2.558
135.73,facebook,story,3399,13,0.812,0,Saudi Arabia,0.0233,2.311
973.56,facebook,image,3754,16,0.041,1,UAE,0.0217,1.379
433.01,instagram,story,6753,9,0.285,0,UAE,0.0358,1.871
185.58,tiktok,reel,2519,19,0.517,1,UAE,0.1194,12.805
835.22,facebook,image,2101,16,0.439,0,Lebanon,0.0285,1.904
243.62,facebook,carousel,7665,12,0.032,0,Egypt,0.0206,0.777
113.77,instagram,image,3039,22,0.017,0,Egypt,0.0548,2.697
1011.41,instagram,reel,3586,13,0.646,0,UAE,0.075,6.391
248.79,twitter,reel,3431,21,0.717,0,UAE,0.0275,1.77
279.22,instagram,carousel,14394,15,0.829,1,Egypt,0.0605,3.414
418.66,instagram,reel,6277,23,0.931,0,Lebanon,0.0982,3.543
1128.15,instagram,image,6657,21,0.347,0,Saudi Arabia,0.0424,2.349
410.77,facebook,image,15625,14,0.191,0,Saudi Arabia,0.018,0.894
137.11,facebook,video,6930,14,0.773,0,Egypt,0.0334,1.449
658.19,facebook,image,5966,20,0.55,0,Lebanon,0.0247,0.92
260.74,instagram,video,13595,17,-0.044,0,Saudi Arabia,0.0396,2.036
2206.43,instagram,image,16899,17,-0.062,0,UAE,0.04,2.267
403.02,tiktok,video,6892,23,0.472,1,Saudi Arabia,0.1587,12.029
53.97,facebook,video,8854,15,0.238,1,Lebanon,0.0315,0.989
556.48,facebook,reel,3429,18,0.291,0,Saudi Arabia,0.0314,1.529
2321.89,facebook,image,3143,22,0.675,0,Saudi Arabia,0.0261,1.009
1666.25,tiktok,reel,18883,21,0.566,1,UAE,0.1482,12.07
2096.15,instagram,video,13219,17,0.765,0,Lebanon,0.062,3.189
161.13,instagram,video,13370,17,-0.376,0,UAE,0.0492,2.701
916.84,facebook,video,11036,11,0.389,0,UAE,0.0318,1.597
210.65,instagram,video,8525,14,0.543,1,Lebanon,0.0675,4.243
493.67,tiktok,image,17431,19,-0.234,1,Jordan,0.0728,2.832
128.3,facebook,video,22665,17,0.071,0,UAE,0.0196,0.89
225.88,tiktok,image,22078,18,0.006,0,Egypt,0.0832,3.519
219.51,tiktok,video,7252,22,0.308,0,Jordan,0.1087,6.293
905.69,facebook,carousel,37260,13,0.87,0,Lebanon,0.0229,1.406
829.35,twitter,video,10418,17,1.0,1,Saudi Arabia,0.0335,2.495
517.57,facebook,reel,16246,19,0.015,0,Egypt,0.0219,0.961
119.66,tiktok,image,11051,15,0.484,0,Saudi Arabia,0.0689,4.293
304.76,instagram,story,10632,23,0.496,0,UAE,0.032,2.593
206.13,facebook,reel,3607,22,0.436,0,Saudi Arabia,0.0274,1.609
882.46,facebook,story,17526,19,0.44,1,Lebanon,0.0286,1.405
1164.87,instagram,reel,185317,23,0.406,0,Saudi Arabia,0.056,1.315
1043.93,facebook,image,5365,12,0.891,1,Jordan,0.0322,1.873
204.45,twitter,carousel,8761,18,0.686,0,Jordan,0.0183,1.026
50.0,facebook,image,4960,19,-0.071,0,Lebanon,0.0221,0.867
82.25,instagram,reel,4737,14,0.579,0,Egypt,0.0628,4.257
1450.21,instagram,carousel,44306,19,0.612,0,UAE,0.06,2.787
281.15,instagram,image,3865,14,0.41,0,Jordan,0.051,2.146
205.27,instagram,story,4810,21,0.696,0,Lebanon,0.069,2.771
1769.4,twitter,image,1413,22,0.366,0,Jordan,0.0197,0.726
1259.72,facebook,carousel,3521,19,0.37,0,Egypt,0.0239,1.099
412.4,instagram,reel,1237,11,0.342,0,Lebanon,0.0777,4.686
309.8,facebook,image,16235,14,-0.406,0,Lebanon,0.0213,0.581
358.21,instagram,carousel,176251,20,0.272,0,Egypt,0.0355,1.113
494.94,instagram,reel,5413,18,0.066,0,Lebanon,0.0566,1.58
1702.82,tiktok,image,1295,7,-0.115,0,Saudi Arabia,0.0538,3.405
590.06,facebook,video,21807,23,0.802,0,Jordan,0.0304,2.06
775.44,twitter,image,3642,19,0.476,0,Saudi Arabia,0.017,1.034
1155.56,facebook,carousel,33836,15,0.29,0,UAE,0.0178,0.69
140.79,facebook,image,5941,22,0.102,1,Saudi Arabia,0.0306,1.515
795.82,tiktok,story,4044,15,0.404,0,Lebanon,0.054,2.428
309.48,twitter,reel,6662,15,0.647,0,Jordan,0.0254,1.52
50.0,tiktok,image,18649,19,0.011,1,UAE,0.1025,3.953
59.42,twitter,video,6309,23,0.298,0,UAE,0.0217,1.459
161.37,tiktok,carousel,4691,23,0.604,1,UAE,0.1031,13.102
650.73,tiktok,reel,6511,19,-0.378,0,Jordan,0.0693,2.215
446.94,instagram,video,2000,20,0.28,1,Lebanon,0.08,5.645
476.24,tiktok,image,12540,21,0.15,1,Egypt,0.0792,3.964
2335.19,facebook,image,1135,13,0.253,1,Egypt,0.027,0.798
128.74,facebook,story,4971,21,0.124,0,Egypt,0.0133,0.479
393.59,facebook,video,18682,15,0.348,0,Jordan,0.0327,1.483
530.59,twitter,reel,11308,19,0.973,1,Egypt,0.036,1.537
207.96,twitter,video,15511,17,0.187,0,Jordan,0.0215,0.752
413.85,instagram,story,7543,20,0.402,0,Lebanon,0.055,3.404
95.59,tiktok,image,29340,18,0.998,1,Egypt,0.1087,5.217
1434.99,tiktok,image,22407,6,0.107,0,Saudi Arabia,0.0455,3.044
218.45,instagram,story,13236,19,0.935,0,Saudi Arabia,0.0458,3.2
2510.56,instagram,story,22478,21,0.302,0,Egypt,0.039,1.326
391.81,instagram,video,18498,20,0.924,0,Jordan,0.078,5.014
1017.65,tiktok,video,4996,18,0.563,0,Egypt,0.1053,3.539
384.53,facebook,video,1847,23,0.407,0,Saudi Arabia,0.0201,1.466
392.42,twitter,video,12866,19,0.277,0,Saudi Arabia,0.0196,0.583
238.5,facebook,image,14775,20,0.082,1,UAE,0.0254,2.065
449.08,twitter,reel,26890,22,0.327,0,UAE,0.0234,0.574
537.11,facebook,image,2892,19,0.614,0,UAE,0.0309,2.033
199.17,tiktok,reel,2989,14,0.295,0,Lebanon,0.1601,8.839
360.49,instagram,image,13438,8,0.189,1,Lebanon,0.0504,2.938
232.97,facebook,image,7492,16,0.212,1,Egypt,0.0316,0.987
3196.14,tiktok,carousel,1018,21,0.647,0,Saudi Arabia,0.1295,5.557
372.13,twitter,video,12241,17,0.729,0,Jordan,0.0329,1.453
1620.85,tiktok,carousel,1056,21,0.066,0,Saudi Arabia,0.1235,6.654
338.3,instagram,image,2864,19,0.066,0,Lebanon,0.0551,1.092
509.46,instagram,story,35841,23,0.433,0,Lebanon,0.0458,2.046
122.83,instagram,reel,60316,17,0.835,0,UAE,0.076,6.766
269.79,instagram,reel,2127,20,0.701,0,Jordan,0.0852,4.277
487.59,facebook,image,5640,20,-0.138,0,UAE,0.0176,1.06
1681.44,tiktok,video,8492,23,0.208,0,Saudi Arabia,0.1164,6.663
492.64,tiktok,video,57489,11,-0.026,1,Jordan,0.0851,3.542
1401.57,tiktok,carousel,4711,16,0.206,0,Jordan,0.0889,1.884
718.13,tiktok,image,4795,21,0.862,0,UAE,0.0578,4.414
1745.26,tiktok,image,44515,23,-0.198,0,Lebanon,0.0813,2.017
382.55,instagram,video,5365,19,-0.267,1,Lebanon,0.0624,2.227
3467.54,instagram,image,17933,17,0.01,0,Lebanon,0.0464,1.772
260.64,facebook,video,1595,21,0.401,0,UAE,0.0408,3.767
202.39,tiktok,image,6711,21,0.517,0,Saudi Arabia,0.0938,6.434
135.77,instagram,image,1305,17,0.453,0,Jordan,0.0696,4.143
3287.63,facebook,carousel,2537,19,0.711,1,Saudi Arabia,0.0282,1.336
843.45,facebook,video,20396,23,-0.317,0,Saudi Arabia,0.0312,1.51
298.66,instagram,video,7670,23,0.716,0,UAE,0.0895,6.601
1241.56,facebook,carousel,5704,21,0.191,0,Egypt,0.0254,1.139
749.14,tiktok,reel,3555,18,0.556,0,Saudi Arabia,0.1687,9.384
2367.32,facebook,video,6356,18,-0.163,0,Egypt,0.0197,0.53
100.18,instagram,carousel,11284,20,0.302,0,Jordan,0.0533,3.418
317.72,tiktok,story,23889,18,0.383,0,UAE,0.0874,5.708
266.06,instagram,carousel,500,19,0.705,0,Lebanon,0.0476,1.759
68.28,tiktok,story,3245,14,-0.255,1,UAE,0.0734,8.373
1047.64,instagram,reel,9652,23,0.311,1,Saudi Arabia,0.0917,4.655
316.28,facebook,image,7268,13,-0.08,1,Jordan,0.0291,1.388
784.99,facebook,video,12628,16,0.477,0,UAE,0.0219,1.549
3373.8,instagram,carousel,10875,18,0.572,0,Egypt,0.0797,3.136
293.56,tiktok,story,5794,23,0.751,0,Saudi Arabia,0.0721,4.996
276.16,instagram,video,4538,16,0.113,1,UAE,0.0692,4.844
448.9,instagram,image,6185,15,0.625,0,UAE,0.0423,2.819
980.95,instagram,carousel,28670,16,0.776,0,Saudi Arabia,0.0504,2.463
242.25,tiktok,image,3622,23,-0.275,0,Saudi Arabia,0.0704,5.46
228.64,tiktok,reel,7562,7,0.514,0,Saudi Arabia,0.0775,5.024
1044.68,twitter,video,9913,14,0.635,1,UAE,0.0322,2.989
567.24,instagram,reel,45088,23,0.209,0,Egypt,0.0559,1.858
64.06,facebook,reel,5823,20,-0.124,0,Lebanon,0.0214,0.819
133.91,instagram,carousel,23264,14,0.63,0,Jordan,0.0531,2.61
1557.93,facebook,carousel,31419,18,-0.12,0,UAE,0.0217,0.663
579.25,twitter,reel,7554,18,0.238,0,Lebanon,0.0223,0.888
203.17,tiktok,reel,6426,21,0.286,1,Saudi Arabia,0.144,9.923
346.07,facebook,reel,5642,23,0.55,0,Saudi Arabia,0.0385,3.36
408.26,facebook,image,6115,20,0.081,0,Saudi Arabia,0.0245,0.97
782.24,twitter,carousel,20736,16,0.06,0,Saudi Arabia,0.0156,0.717
118.81,facebook,image,10447,21,0.335,0,Jordan,0.0178,0.699
189.26,instagram,reel,10496,15,0.652,0,Saudi Arabia,0.079,7.813
515.77,instagram,carousel,2350,14,1.0,0,Saudi Arabia,0.0771,4.553
368.76,instagram,video,2795,11,-0.228,1,UAE,0.0443,3.162
674.97,instagram,image,85630,12,0.41,0,Lebanon,0.0363,1.97
133.41,instagram,video,6663,14,-0.08,0,Saudi Arabia,0.0485,2.673
556.36,facebook,reel,3455,13,0.657,0,UAE,0.0335,1.55
1077.53,facebook,image,39112,19,-0.028,0,Saudi Arabia,0.0158,0.529
625.24,instagram,image,11047,13,0.064,0,Lebanon,0.0474,2.227
457.24,facebook,reel,15305,5,0.094,1,Jordan,0.0163,0.566
370.07,twitter,reel,6961,14,0.273,0,Saudi Arabia,0.0163,1.093
190.31,tiktok,image,5707,16,0.413,1,Egypt,0.0966,5.004
378.12,facebook,image,6724,16,0.469,0,Saudi Arabia,0.0224,1.601
1253.55,instagram,story,1770,23,0.298,0,Lebanon,0.0318,1.436
362.45,tiktok,reel,7356,16,-0.165,0,Egypt,0.0879,2.17
181.12,instagram,carousel,11222,22,0.555,0,Saudi Arabia,0.0561,2.997
259.04,instagram,video,62038,18,0.281,1,Egypt,0.0686,3.806
483.36,twitter,image,8907,18,0.707,0,UAE,0.0193,1.176
288.25,facebook,image,621,15,0.052,0,Saudi Arabia,0.0188,0.336
624.39,tiktok,reel,7307,18,-0.261,0,Egypt,0.1215,4.207
645.84,facebook,image,164959,15,0.288,1,Saudi Arabia,0.0249,1.311
897.92,facebook,image,21015,19,0.754,0,UAE,0.0211,1.662
1452.74,instagram,reel,3321,17,0.356,0,Saudi Arabia,0.0764,5.941
988.58,instagram,story,15525,14,0.23,0,Saudi Arabia,0.0392,2.223
174.02,instagram,reel,3582,22,-0.005,1,Jordan,0.0948,6.167
178.9,instagram,video,1827,20,0.915,0,UAE,0.0765,6.542
376.83,tiktok,video,5523,16,-0.06,0,UAE,0.1103,8.617
268.79,instagram,video,8961,19,0.046,1,Egypt,0.0733,2.314
144.82,facebook,video,1033,18,0.5,0,Saudi Arabia,0.0433,3.046
271.1,tiktok,carousel,2289,15,-0.35,0,Egypt,0.0913,3.225
263.21,tiktok,video,8195,18,0.746,0,Saudi Arabia,0.1336,9.31
220.38,facebook,carousel,5171,16,0.518,0,UAE,0.026,2.402
303.62,facebook,reel,12510,14,0.615,0,Egypt,0.0365,1.415
1165.15,twitter,story,2129,12,0.495,0,Lebanon,0.0139,0.916
482.66,facebook,image,17774,17,0.244,0,UAE,0.0271,2.567
3731.73,tiktok,video,2203,20,-0.072,0,Saudi Arabia,0.1024,5.083
470.34,twitter,image,49365,15,0.251,0,Egypt,0.0137,0.581
310.74,tiktok,video,1227,23,-0.041,0,Egypt,0.0931,4.14
404.93,instagram,image,2436,22,0.47,1,UAE,0.0506,2.893
508.18,facebook,image,12824,23,0.582,0,Lebanon,0.0255,0.807
596.89,instagram,reel,50546,21,0.817,0,Jordan,0.0674,4.705
2615.05,facebook,video,11459,23,0.43,0,Lebanon,0.0358,1.548
188.52,twitter,story,15050,15,0.624,0,UAE,0.0114,0.807
874.05,facebook,image,8260,8,0.196,0,UAE,0.0171,1.004
486.37,facebook,image,2620,16,0.133,0,Saudi Arabia,0.0256,0.589
98.1,instagram,video,4726,20,0.466,1,Egypt,0.053,2.713
807.25,twitter,image,2136,19,0.165,0,Egypt,0.0224,0.634
1262.52,instagram,image,1985,19,0.394,0,Egypt,0.0496,2.247
186.52,instagram,story,12605,23,-0.071,0,Lebanon,0.0359,1.78
400.2,instagram,image,2355,20,-0.009,0,UAE,0.0507,3.299
85.39,instagram,image,11516,21,0.522,0,Saudi Arabia,0.0593,4.807
129.94,facebook,carousel,1935,14,0.61,0,Lebanon,0.0297,0.969
1036.11,facebook,video,11226,14,-0.045,1,UAE,0.0349,2.535
265.13,instagram,carousel,4733,23,0.535,0,UAE,0.0669,5.515
148.72,instagram,video,38073,18,0.114,0,Lebanon,0.0776,4.419
495.97,instagram,reel,11569,16,0.306,0,Saudi Arabia,0.0766,7.105
252.1,facebook,image,31551,16,0.796,0,Egypt,0.0329,0.884
264.08,instagram,video,3529,15,0.583,1,Lebanon,0.1028,5.482
784.77,tiktok,carousel,8619,15,0.579,0,Saudi Arabia,0.0684,3.599
141.8,instagram,reel,2753,13,0.968,0,Egypt,0.1273,6.773
178.6,instagram,video,5141,12,0.054,0,Egypt,0.0509,1.887
463.44,facebook,carousel,6073,17,-0.045,0,Egypt,0.0283,0.887
965.33,facebook,image,3646,16,0.047,0,Saudi Arabia,0.0204,1.353
1229.48,instagram,image,2128,22,0.211,0,Egypt,0.0589,1.476
221.73,instagram,image,1711,19,-0.524,0,UAE,0.0323,1.122
937.9,tiktok,reel,617,19,0.227,0,UAE,0.1416,6.209
199.19,instagram,image,2535,15,0.109,0,Lebanon,0.0446,1.723
2087.22,facebook,reel,16159,18,0.574,0,Saudi Arabia,0.0439,1.848
145.42,facebook,image,1396,19,0.423,0,UAE,0.0263,1.858
1333.59,instagram,reel,1799,21,0.09,0,UAE,0.0812,4.264
223.44,facebook,reel,58103,18,0.506,0,Egypt,0.0194,0.667
2469.87,tiktok,image,4023,22,0.553,0,UAE,0.0894,6.777
686.9,tiktok,image,11535,18,0.031,1,UAE,0.0948,6.253
161.67,instagram,image,16424,21,0.127,0,Lebanon,0.0468,2.57
252.14,instagram,reel,16794,16,-0.479,0,Saudi Arabia,0.0583,2.534
814.9,instagram,image,1518,11,-0.082,0,UAE,0.0376,1.971
